Word,Class,Heat
grand,0.0,204.0
cement,0.0,204.0
ernie,0.0,204.0
pathso,0.0,204.0
kg,1.0,204.0
gilmore,0.0,204.0
know,0.0,203.70888661899897
i,0.0,203.6226025984739
fridays,1.0,203.6
africa,1.0,203.5
wales,1.0,203.5
precious,0.0,203.5
you,0.0,203.49907876554585
terminates,0.0,203.33333333333331
versa,0.0,203.0
burned,0.0,203.0
giants,0.0,203.0
151,0.0,203.0
tkc,0.0,203.0
accelerate,1.0,203.0
wenderachels,0.0,203.0
punked,0.0,203.0
arrives,0.0,203.0
pereira,1.0,203.0
souad,0.0,203.0
espinoza,0.0,203.0
jam,1.0,203.0
elements,0.0,203.0
netcom,0.0,203.0
offic,1.0,203.0
let,0.0,202.95924308588062
vice,0.0,202.8
am,0.0,202.78802992518703
reevaluateyour,0.0,202.66666666666663
beach,0.0,202.63157894736838
gavino,1.0,202.55555555555557
shopping,1.0,202.5
god,0.0,202.42857142857144
liria,1.0,202.4
logqid,0.0,202.33333333333331
felt,0.0,202.33333333333331
unclear,0.0,202.33333333333331
road,0.0,202.33333333333331
calgary,0.0,202.25
jeff,0.0,202.01515151515147
contrary,1.0,202.0
feast,0.0,202.0
devon,0.0,202.0
isp,0.0,202.0
decreased,0.0,202.0
kimball,1.0,202.0
paycheck,0.0,202.0
fbc,0.0,202.0
fitness,0.0,202.0
didnt,0.0,202.0
mistake,0.0,201.8
et,0.0,201.51282051282055
maxwell,0.0,201.5
softball,0.0,201.33333333333331
uh,0.0,201.33333333333331
boss,0.0,201.2
dog,0.0,201.16666666666663
weekends,0.0,201.11111111111111
san,0.0,201.05263157894737
eh,1.0,201.0
receivable,0.0,201.0
shoes,0.0,201.0
pugezmum,0.0,201.0
honeymoon,0.0,201.0
accord,1.0,201.0
af,0.0,201.0
sutton,0.0,201.0
duty,1.0,201.0
economics,0.0,201.0
finds,1.0,201.0
projections,0.0,201.0
writes,0.0,201.0
kickoff,0.0,201.0
kabat,1.0,201.0
requst,1.0,201.0
synergimy,0.0,201.0
yeah,1.0,201.0
muhl,0.0,201.0
mardi,1.0,201.0
fyi,1.0,200.88505747126442
dora,0.0,200.66666666666663
golden,0.0,200.66666666666663
38885houston,0.0,200.5
embarrassed,0.0,200.5
hey,0.0,200.3913043478261
director,0.0,200.25
las,0.0,200.25
fax,1.0,200.23330832708174
debbie,0.0,200.2
sandi,0.0,200.0
misstated,0.0,200.0
fair,1.0,200.0
jw,0.0,200.0
offs,0.0,200.0
happiest,0.0,200.0
sensitive,0.0,200.0
indosuez,1.0,200.0
wrapped,0.0,200.0
laid,0.0,200.0
discouraging,0.0,200.0
beware,0.0,200.0
traditionally,0.0,200.0
learned,0.0,200.0
mil,0.0,200.0
craziest,0.0,200.0
moms,0.0,200.0
waited,1.0,200.0
cpa,0.0,200.0
bother,0.0,199.6
cooper,0.0,199.6
unchanged,0.0,199.5
lawhill,1.0,199.5
cashing,0.0,199.5
fri,0.0,199.45454545454547
graham,1.0,199.33333333333331
morse,1.0,199.33333333333331
assure,0.0,199.33333333333331
usa,0.0,199.27272727272728
reagan,0.0,199.25
adjusted,0.0,199.25
months',0.0,199.0
craps,0.0,199.0
whoops,0.0,199.0
burlington,1.0,199.0
figures,0.0,199.0
assumedyou,0.0,199.0
totalled,0.0,199.0
braz,1.0,199.0
billion,0.0,199.0
cstto,0.0,199.0
tamara,1.0,199.0
'go,1.0,199.0
stratus,0.0,199.0
ice,0.0,199.0
